Date,Billable,Non-Billable
5/3/2019 3:00:00 PM,0,0
5/3/2019 4:00:00 PM,0,0
5/3/2019 5:00:00 PM,0,0
5/3/2019 6:00:00 PM,0,0
5/3/2019 7:00:00 PM,0,0
5/3/2019 8:00:00 PM,0,0
5/3/2019 9:00:00 PM,0,0
5/3/2019 10:00:00 PM,0,0
5/3/2019 11:00:00 PM,0,0
5/4/2019 12:00:00 AM,0,0
5/4/2019 1:00:00 AM,0,0
5/4/2019 2:00:00 AM,0,0
5/4/2019 3:00:00 AM,15,0
5/4/2019 4:00:00 AM,98,0
5/4/2019 5:00:00 AM,0,0
5/4/2019 6:00:00 AM,0,0
5/4/2019 7:00:00 AM,0,0
5/4/2019 8:00:00 AM,0,0
5/4/2019 9:00:00 AM,0,0
5/4/2019 10:00:00 AM,0,0
5/4/2019 11:00:00 AM,0,0
5/4/2019 12:00:00 PM,0,0
5/4/2019 1:00:00 PM,0,0
5/4/2019 2:00:00 PM,70,0
5/4/2019 3:00:00 PM,0,0
